[width=0.5] parameter CRNN: 2,476,542  + AuxDecoder (training-only): 1,893,472  device: cuda
[width=0.5] epoch 71/120  lr=3.85e-04  ctc_loss=0.0006  aux_loss=0.9624  val_cer=0.0491  val_wer=0.1055  val_exact=0.6792  (3478s elapsed)
[width=0.5] epoch 72/120  lr=3.72e-04  ctc_loss=0.0007  aux_loss=0.9597  val_cer=0.0397  val_wer=0.0901  val_exact=0.7042  (3522s elapsed)
[width=0.5] epoch 73/120  lr=3.59e-04  ctc_loss=0.0004  aux_loss=0.9573  val_cer=0.0379  val_wer=0.0869  val_exact=0.7167  (3566s elapsed)
[width=0.5] epoch 74/120  lr=3.45e-04  ctc_loss=0.0004  aux_loss=0.9543  val_cer=0.0413  val_wer=0.0933  val_exact=0.7000  (3612s elapsed)
[width=0.5] epoch 75/120  lr=3.33e-04  ctc_loss=0.0004  aux_loss=0.9522  val_cer=0.0451  val_wer=0.0984  val_exact=0.7000  (3656s elapsed)
[width=0.5] epoch 76/120  lr=3.20e-04  ctc_loss=0.0003  aux_loss=0.9513  val_cer=0.0412  val_wer=0.0940  val_exact=0.6958  (3702s elapsed)
[width=0.5] epoch 77/120  lr=3.07e-04  ctc_loss=0.0003  aux_loss=0.9541  val_cer=0.0423  val_wer=0.0955  val_exact=0.6917  (3746s elapsed)
[width=0.5] epoch 78/120  lr=2.95e-04  ctc_loss=0.0005  aux_loss=0.9547  val_cer=0.0394  val_wer=0.0898  val_exact=0.7000  (3790s elapsed)
[width=0.5] epoch 79/120  lr=2.82e-04  ctc_loss=0.0003  aux_loss=0.9509  val_cer=0.0385  val_wer=0.0861  val_exact=0.7042  (3836s elapsed)
[width=0.5] epoch 80/120  lr=2.70e-04  ctc_loss=0.0003  aux_loss=0.9492  val_cer=0.0438  val_wer=0.0948  val_exact=0.7042  (3885s elapsed)
[width=0.5] epoch 81/120  lr=2.58e-04  ctc_loss=0.0003  aux_loss=0.9483  val_cer=0.0444  val_wer=0.0920  val_exact=0.6958  (3933s elapsed)
[width=0.5] epoch 82/120  lr=2.46e-04  ctc_loss=0.0002  aux_loss=0.9474  val_cer=0.0414  val_wer=0.0895  val_exact=0.7083  (3977s elapsed)
[width=0.5] epoch 83/120  lr=2.34e-04  ctc_loss=0.0003  aux_loss=0.9447  val_cer=0.0460  val_wer=0.1020  val_exact=0.6833  (4023s elapsed)
[width=0.5] epoch 84/120  lr=2.23e-04  ctc_loss=0.0003  aux_loss=0.9426  val_cer=0.0452  val_wer=0.0968  val_exact=0.7000  (4068s elapsed)
